class,Elevation,Slope,Aspect,Curvature,TWI,Distance_to_Rivers,Annual_Rainfall,Event_Rainfall,NDVI,LULC
1,1559.0,4.995986,291.7374,-5.0,3.8119733,1827.0468,646.05927,184.97876,0.31604397,40.0
1,1572.0,7.3788605,180.0,-3.0,3.1349778,2460.0,645.7947,177.39412,0.3100616,40.0
1,1697.0,5.9252286,321.24872,3.0,2.948992,3743.274,645.7947,177.39412,0.44960684,20.0
1,1590.0,12.18903,13.035286,-13.0,2.2209718,2016.9283,645.7947,177.39412,0.25777873,30.0
1,1546.0,7.626304,103.9926,0.0,3.6126907,2683.2815,645.7947,177.39412,0.21240148,30.0
1,1543.0,11.955266,94.38459,4.0,2.2408285,1590.0,619.19604,185.47014,0.35109073,20.0
1,1532.0,1.8607421,270.0,-2.0,5.9615326,1034.4564,658.2888,175.57645,0.30784354,40.0
1,1548.0,2.0744572,153.35603,1.0,5.998907,1560.0,687.23157,196.55284,0.21926972,40.0
1,1586.0,4.6374807,233.22417,-7.0,3.1927633,361.24783,687.23157,196.55284,0.2297092,30.0
1,1562.0,4.1520424,243.51385,5.0,3.30234,646.2198,658.2888,175.57645,0.26331422,40.0
1,1559.0,2.0787575,296.48605,-22.0,4.387452,1980.2273,656.3895,175.11884,0.17600659,40.0
1,1567.0,1.8607376,270.0,10.0,4.78288,2504.5957,656.3895,175.11884,0.22145692,40.0
1,1482.0,0.92740995,180.0,8.0,5.4498515,2130.0,603.1331,163.38403,0.21957918,40.0
1,1465.0,4.9844303,21.868711,-1.0,4.2197394,1950.2307,663.7811,170.75836,0.26026827,40.0
1,1439.0,1.8606234,270.0,-4.0,4.0897923,1341.6407,663.7811,170.75836,0.32506886,40.0
1,1424.0,4.733926,281.27267,-6.0,3.577802,1183.385,712.7693,202.38109,0.20131692,40.0
1,1455.0,3.8192465,345.9177,7.0,4.483582,2001.2496,712.7693,202.38109,0.34583822,40.0
1,1467.0,3.7047918,-0.0,-2.0,4.331317,2096.1394,712.7693,202.38109,0.26135063,40.0
1,1465.0,1.8543341,-0.0,10.0,4.498544,1721.54,712.7693,202.38109,0.2345411,40.0
1,1431.0,1.3136631,314.90314,-6.0,4.831161,1209.3386,735.0442,202.7543,0.25782496,40.0
1,1451.0,2.0744379,333.3571,3.0,3.9840133,1740.0,735.0442,202.7543,0.21782178,40.0
1,1435.0,2.7897043,90.0,0.0,5.566136,1647.5436,712.7693,202.38109,0.19778933,40.0
1,1499.0,0.92740995,180.0,3.0,4.7567043,2881.406,735.0442,202.7543,0.26055476,40.0
1,1573.0,2.9314349,161.50587,8.0,3.645669,2564.2544,712.7693,202.38109,0.30954677,40.0
1,1575.0,0.930607,270.0,0.0,4.7534623,2278.8154,761.1299,214.01933,0.2238683,40.0
